price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-09-30 20:18:03.110370 -- price updated
2019-09-30 20:21:03.336940 -- price updated
2019-09-30 20:24:03.035663 -- price updated
2019-09-30 20:27:02.247635 -- price updated
2019-09-30 20:30:03.361402 -- price updated
2019-09-30 20:33:02.751483 -- price updated
2019-09-30 20:36:03.433973 -- price updated
2019-09-30 20:39:02.969344 -- price updated
2019-09-30 20:42:02.592035 -- price updated
2019-09-30 20:45:03.587672 -- price updated
2019-09-30 20:48:03.204390 -- price updated
2019-09-30 20:51:03.236757 -- price updated
2019-09-30 20:54:02.753228 -- price updated
2019-09-30 20:57:02.876549 -- price updated
2019-09-30 21:00:03.957581 -- price updated
2019-09-30 21:03:02.387891 -- price updated
2019-09-30 21:06:02.697194 -- price updated
2019-09-30 21:09:02.937405 -- price updated
2019-09-30 21:12:02.974334 -- price updated
2019-09-30 21:15:02.752349 -- price updated
2019-09-30 21:18:03.110732 -- price updated
2019-09-30 21:21:03.533146 -- price updated
2019-09-30 21:24:03.029090 -- price updated
2019-09-30 21:27:02.445275 -- price updated
2019-09-30 21:30:03.705743 -- price updated
2019-09-30 21:33:02.835271 -- price updated
2019-09-30 21:36:03.319427 -- price updated
2019-09-30 21:39:02.751495 -- price updated
2019-09-30 21:42:02.861199 -- price updated
2019-09-30 21:45:04.032277 -- price updated
2019-09-30 21:48:02.608783 -- price updated
2019-09-30 21:51:03.089253 -- price updated
2019-10-01 11:19:08.770021 -- error retrieving data
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 40, in <module>
    gas_price.standard_gas_price = avg_price
NameError: name 'avg_price' is not defined
2019-10-01 11:21:03.245768 -- price updated
2019-10-01 11:24:02.542487 -- price updated
2019-10-01 11:27:02.829555 -- price updated
2019-10-01 11:30:03.587358 -- price updated
2019-10-01 11:54:04.781452 -- price updated
2019-10-01 11:57:03.097189 -- price updated
2019-10-01 12:00:46.390451 -- price updated
2019-10-01 12:03:03.316488 -- price updated
2019-10-01 12:06:02.792262 -- price updated
2019-10-01 12:09:03.473876 -- price updated
2019-10-01 12:12:02.661817 -- price updated
2019-10-01 12:15:03.321359 -- price updated
2019-10-01 12:18:03.896263 -- price updated
2019-10-01 12:21:04.880281 -- price updated
2019-10-01 12:24:02.408049 -- price updated
2019-10-01 12:27:02.853570 -- price updated
2019-10-01 12:30:03.716278 -- price updated
2019-10-01 12:33:03.113282 -- price updated
2019-10-01 12:36:02.745358 -- price updated
2019-10-01 12:39:03.366548 -- price updated
2019-10-01 12:42:02.797266 -- price updated
2019-10-01 12:45:04.425781 -- price updated
2019-10-02 11:27:02.986299 -- price updated
2019-10-02 11:30:03.119815 -- price updated
2019-10-02 11:33:02.524368 -- price updated
